"307 N Michigan Avenue, Massapequa, NY 11758",LISTING BY: MIGRATE REALTY LLC,"$699,000",4,3,--
"11 Equestrian Acres Lane, Brewster, NY 10509",LISTING BY: COLDWELL BANKER REALTY,"$525,000",3,3,"2,636"
"2 Town House Place UNIT 2D, Great Neck, NY 11021",LISTING BY: FILO REAL ESTATE GROUP LLC,"$249,000",1,1,725
"4 Creekview Drive, Thiells, NY 10984",LISTING BY: VERCOLES REALTY INC.,"$719,000",4,3,"2,080"
"39 Stony Road, Lake Huntington, NY 12752",LISTING BY: NEXLVL REAL ESTATE INC.,"$299,900",3,2,"1,456"
"126 Thorncliff Rd, Buffalo, NY 14223","MLS ID #B1525757, LISTING BY: HUNT REAL ESTATE ERA","$240,000",2,2,"1,098"
"5711 Salt Rd, Clarence, NY 14031","MLS ID #B1524494, LISTING BY: CENTURY 21 NORTH EAST","$424,900",4,3,"2,352"
"20 Primrose Lane, Castleton On Hudson, NY 12033",LISTING BY: KELLER WILLIAMS CAPITAL DIST,"$542,900",3,3,"2,109"
"12 Monroe Avenue, Albany, NY 12203",LISTING BY: SARATOGA REAL ESTATE ASSOC LLC,"$135,000",3,1,"1,239"
"40 Geyser Road, Saratoga Springs, NY 12866","LISTING BY: JULIE & CO REALTY, LLC","$16,000,000",7,9,"6,218"
"11 Equestrian Acres Lane, Brewster, NY 10509",LISTING BY: COLDWELL BANKER REALTY,"$525,000",3,3,"2,636"
"2 Town House Place UNIT 2D, Great Neck, NY 11021",LISTING BY: FILO REAL ESTATE GROUP LLC,"$249,000",1,1,725
"4 Creekview Drive, Thiells, NY 10984",LISTING BY: VERCOLES REALTY INC.,"$719,000",4,3,"2,080"
"39 Stony Road, Lake Huntington, NY 12752",LISTING BY: NEXLVL REAL ESTATE INC.,"$299,900",3,2,"1,456"
"126 Thorncliff Rd, Buffalo, NY 14223","MLS ID #B1525757, LISTING BY: HUNT REAL ESTATE ERA","$240,000",2,2,"1,098"
"5711 Salt Rd, Clarence, NY 14031","MLS ID #B1524494, LISTING BY: CENTURY 21 NORTH EAST","$424,900",4,3,"2,352"
"20 Primrose Lane, Castleton On Hudson, NY 12033",LISTING BY: KELLER WILLIAMS CAPITAL DIST,"$542,900",3,3,"2,109"
"12 Monroe Avenue, Albany, NY 12203",LISTING BY: SARATOGA REAL ESTATE ASSOC LLC,"$135,000",3,1,"1,239"
"40 Geyser Road, Saratoga Springs, NY 12866","LISTING BY: JULIE & CO REALTY, LLC","$16,000,000",7,9,"6,218"
"19 Laura Road, Monroe, NY 10950",LISTING BY: RE/MAX BENCHMARK REALTY GROUP,"$475,000",4,3,"2,334"
"3200 Valley Dr, Walworth, NY 14568","MLS ID #R1525621, LISTING BY: BLUE ARROW REAL ESTATE","$549,900",4,3,"2,594"
"195 Taghkanic Road, Elizaville, NY 12523",LISTING BY: EXP REALTY,"$332,000",3,1,"1,360"
"12440 Tonawanda Creek Rd, Akron, NY 14001","MLS ID #B1526683, LISTING BY: EXIT TURNING KEY REALTY","$389,900",3,3,"2,015"
"14 Orange Tree UNIT 14, Manorville, NY 11949",LISTING BY: EXP REALTY,"$189,999",2,2,"1,239"
"4810 Cornish Heights Pkwy, Syracuse, NY 13215","MLS ID #S1523790, LISTING BY: HUNT REAL ESTATE ERA","$525,000",4,3,"2,908"
"618 Viewland Drive, Yorktown Heights, NY 10598","LISTING BY: COMPASS GREATER NY, LLC","$799,900",4,3,"2,938"
"127 S Terry Rd, Syracuse, NY 13219","MLS ID #S1526367, LISTING BY: HOWARD HANNA REAL ESTATE","$239,900",3,2,"1,535"
"8 Garnsey Road, Rexford, NY 12148",LISTING BY: ROMEO TEAM REALTY,"$450,000",3,2,"1,810"
"1484 Hardscrabble Rd, Roxbury, NY 12474","MLS ID #R1526616, LISTING BY: KELLER WILLIAMS UPSTATE NY PROPERTIES","$325,000",4,1,"2,516"
